full_model_0
50 epochs, no oversampling, no spec augment, random crop, with scheduler, no focal loss, with bias initialization, early stopping with patience 15, 6 seconds, n_mels=64
epoch,train_loss,val_loss,val_mAP
25,0.0306,0.045,0.368
26,0.0305,0.0447,0.3666
27,0.03,0.046,0.3636
28,0.03,0.044,0.3645
29,0.0297,0.0442,0.3633
30,0.0297,0.0456,0.3631
31,0.0292,0.0437,0.3689
32,0.0291,0.0447,0.3727
33,0.0289,0.0447,0.3709
34,0.0286,0.0449,0.3752
35,0.0288,0.0449,0.3733
36,0.0286,0.0451,0.3746
37,0.0283,0.0451,0.3785
38,0.0278,0.0444,0.3798
39,0.0278,0.0447,0.3718
40,0.0276,0.0437,0.379
41,0.0275,0.045,0.3824
42,0.027,0.0451,0.3835
43,0.027,0.0458,0.3797
44,0.027,0.0452,0.3813
45,0.0266,0.0441,0.384
46,0.0268,0.0449,0.3805
47,0.0264,0.0451,0.3896
48,0.0266,0.0449,0.3923
49,0.0263,0.0446,0.3915
50,0.0261,0.0456,0.3838
51,0.0263,0.0452,0.3884
52,0.026,0.0458,0.3883
53,0.0261,0.0451,0.3917
54,0.0258,0.0458,0.3946
55,0.0259,0.0449,0.3917
56,0.0255,0.0459,0.3875
57,0.0256,0.0451,0.3874
58,0.0255,0.0444,0.3907
59,0.0253,0.0452,0.3899
60,0.0253,0.0442,0.391
61,0.0252,0.0449,0.3966
62,0.0251,0.0461,0.3942
63,0.0253,0.0443,0.3939
64,0.025,0.0448,0.3942
65,0.0248,0.0466,0.3919
66,0.0248,0.0452,0.3978
67,0.0246,0.0451,0.3951
68,0.0246,0.0447,0.3974
69,0.0247,0.0452,0.3982
70,0.0243,0.0444,0.3973
71,0.0245,0.0439,0.3998
72,0.0245,0.0446,0.3949
73,0.0242,0.0439,0.3959
74,0.0243,0.0451,0.395
75,0.0242,0.0454,0.397
76,0.0242,0.0447,0.4009
77,0.0242,0.0455,0.3981
78,0.0241,0.0452,0.4013
79,0.024,0.0458,0.4018
80,0.024,0.0452,0.4005
81,0.024,0.0455,0.3993
82,0.024,0.0452,0.4001
83,0.0239,0.0453,0.3984
84,0.0237,0.0455,0.4001
85,0.0238,0.0451,0.3996
86,0.0237,0.0453,0.4038
87,0.0237,0.0452,0.3993
88,0.0237,0.0457,0.4002
89,0.0237,0.0446,0.4014
90,0.0237,0.0455,0.4003
91,0.0237,0.0453,0.3936
92,0.0237,0.0452,0.4031
93,0.0238,0.0446,0.4046
94,0.0234,0.0448,0.403
95,0.0236,0.0455,0.4014
96,0.0236,0.0457,0.4006
97,0.0237,0.0455,0.4023
98,0.0234,0.045,0.4027
99,0.0237,0.045,0.4014
100,0.0238,0.0452,0.4006

full_model_3
100 epochs, with oversampling, no spec augment, no focal loss, random crop, scheduler, bias initialization, early stopping with patience 10, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0565,0.0561,0.1297
2,0.0499,0.0563,0.1738
3,0.0474,0.0525,0.2012
4,0.0452,0.0502,0.2229
5,0.0439,0.0484,0.2383
6,0.0424,0.0512,0.2546
7,0.0413,0.048,0.2721
8,0.0407,0.0472,0.2781
9,0.0397,0.0473,0.2844
10,0.039,0.0477,0.2893
11,0.0385,0.0469,0.3045
12,0.038,0.0464,0.3043
13,0.0372,0.0457,0.3142
14,0.0367,0.0463,0.3093
15,0.0368,0.046,0.32
16,0.0361,0.0451,0.3159
17,0.0358,0.0473,0.3185
18,0.0355,0.0473,0.3255
19,0.035,0.0469,0.3191
20,0.0347,0.0457,0.3316
21,0.0345,0.0457,0.3316
22,0.0341,0.0466,0.3396
23,0.0339,0.0485,0.3329
24,0.0337,0.0462,0.3333
25,0.0332,0.0466,0.3376
26,0.033,0.0458,0.3406
27,0.0327,0.0452,0.3445
28,0.0326,0.0458,0.35
29,0.0323,0.0463,0.3507
30,0.0318,0.0442,0.3539
31,0.0318,0.0446,0.3549
32,0.0315,0.0482,0.3471
33,0.0316,0.0456,0.349
34,0.0315,0.0457,0.3474
35,0.031,0.0482,0.3478
36,0.0311,0.045,0.3545
37,0.0305,0.0462,0.3588
38,0.0306,0.0468,0.3562
39,0.0305,0.0456,0.3598
40,0.0304,0.0472,0.3573
41,0.0302,0.046,0.3646
42,0.0302,0.046,0.3602
43,0.0297,0.046,0.355
44,0.0298,0.0455,0.3642
45,0.0295,0.0451,0.3638
46,0.0295,0.0457,0.3592
47,0.0291,0.0453,0.3638
48,0.0294,0.0449,0.3723
49,0.0291,0.0456,0.3688
50,0.0289,0.0459,0.3703
51,0.0288,0.0473,0.3682
52,0.0286,0.047,0.3697
53,0.0288,0.0457,0.3674
54,0.0284,0.0457,0.3719
55,0.0283,0.0456,0.3734
56,0.0285,0.0463,0.3694
57,0.0282,0.0454,0.377
58,0.0282,0.0458,0.3723
59,0.0281,0.0451,0.375
60,0.0281,0.0468,0.3758
61,0.0277,0.0461,0.3768
62,0.0277,0.0462,0.3767
63,0.0276,0.0463,0.3763
64,0.0275,0.0466,0.3734
65,0.0278,0.0452,0.3781
66,0.0275,0.0455,0.3766
67,0.0273,0.0469,0.3751
68,0.0272,0.046,0.3741
69,0.0272,0.0448,0.376
70,0.0272,0.0454,0.3788
71,0.0272,0.0461,0.3714
72,0.0272,0.0462,0.3815
73,0.027,0.0462,0.3781
74,0.0269,0.0455,0.3813
75,0.0271,0.0453,0.378
76,0.0269,0.0454,0.3812
77,0.027,0.0451,0.3833
78,0.0271,0.0455,0.3854
79,0.027,0.046,0.3794
80,0.0268,0.0463,0.3826
81,0.0269,0.046,0.3801
82,0.0268,0.0457,0.3831
83,0.0269,0.0459,0.3817
84,0.0266,0.0453,0.3852
85,0.0263,0.0457,0.383
86,0.0266,0.0461,0.3824
87,0.0264,0.0466,0.3872
88,0.0266,0.0462,0.3806
89,0.0266,0.0463,0.385
90,0.0265,0.0466,0.3814
91,0.0266,0.0467,0.3832
92,0.0265,0.0458,0.3827
93,0.0265,0.0456,0.3859
94,0.0266,0.0464,0.3812
