full_model_0
50 epochs, no oversampling, no spec augment, random crop, with scheduler, no focal loss, with bias initialization, early stopping with patience 15, 6 seconds, n_mels=64
epoch,train_loss,val_loss,val_mAP
24,0.0197,0.0407,0.4492
25,0.0194,0.0405,0.4577
26,0.0191,0.0401,0.4571
27,0.019,0.0429,0.4476
28,0.0185,0.0412,0.4546
29,0.0183,0.0406,0.4598
30,0.0181,0.0418,0.4508
31,0.0179,0.0419,0.4569
32,0.0175,0.0405,0.4614
33,0.0172,0.0433,0.4571
34,0.0171,0.0411,0.461
35,0.0169,0.0433,0.4533
36,0.0168,0.041,0.4727
37,0.0166,0.0408,0.4686
38,0.0165,0.0412,0.4643
39,0.0161,0.0411,0.4652
40,0.0157,0.0416,0.4656
41,0.0158,0.0435,0.4624
42,0.0155,0.0422,0.4665
43,0.0153,0.0423,0.4646
44,0.0153,0.0425,0.4626
45,0.0149,0.0432,0.4646
46,0.0148,0.0417,0.463
47,0.0148,0.0418,0.47
48,0.0145,0.0413,0.4657
49,0.0146,0.0427,0.4661
50,0.0142,0.0423,0.4677
51,0.014,0.0424,0.4739
52,0.014,0.0418,0.4692
53,0.0137,0.0429,0.4664
54,0.0134,0.0423,0.4744
55,0.0135,0.0423,0.4734
56,0.0134,0.0427,0.4727
57,0.0134,0.0427,0.477
58,0.0132,0.043,0.4788
59,0.0132,0.0423,0.4753
60,0.013,0.0434,0.4758
61,0.0128,0.043,0.4761
62,0.0127,0.0428,0.4731
63,0.0126,0.0438,0.4748
64,0.0126,0.0435,0.4763
65,0.0123,0.0426,0.4821
66,0.0122,0.0435,0.4782
67,0.0122,0.0432,0.4829
68,0.012,0.0431,0.4803
69,0.012,0.0439,0.4802
70,0.0121,0.0435,0.4823
71,0.0118,0.0436,0.4797
72,0.0117,0.0443,0.4781
73,0.0116,0.0446,0.477
74,0.0115,0.0445,0.4852
75,0.0115,0.0425,0.4851
76,0.0113,0.0433,0.4838
77,0.0114,0.0443,0.479
78,0.0113,0.0439,0.4788
79,0.0113,0.044,0.4827
80,0.0112,0.044,0.4843
81,0.011,0.0446,0.4789
82,0.0112,0.044,0.4817
83,0.0112,0.0442,0.4849
84,0.0111,0.044,0.487
85,0.011,0.0444,0.4825
86,0.0109,0.0438,0.4872
87,0.011,0.0442,0.4829
88,0.011,0.0437,0.4873
89,0.0108,0.0436,0.4846
90,0.0109,0.0445,0.4843
91,0.0109,0.0439,0.4899
92,0.0109,0.0445,0.4828
93,0.0108,0.0437,0.486
94,0.0108,0.0449,0.4828
95,0.0106,0.0443,0.4865
96,0.0109,0.0443,0.4866
97,0.0108,0.0443,0.4828
98,0.0108,0.0441,0.4871
99,0.0108,0.0444,0.4872
100,0.0107,0.0446,0.4825

full_model_12
100 epochs, 4 blocks, new classifier, no oversampling, no spec augment, no focal loss, random crop, scheduler, no bias initialization, early stopping with patience 15, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0499,0.0536,0.1569
2,0.0372,0.0468,0.2324
3,0.0332,0.0485,0.263
4,0.0307,0.0458,0.293
5,0.0287,0.0435,0.3262
6,0.0272,0.0451,0.3269
7,0.0259,0.0413,0.355
8,0.0248,0.0418,0.3588
9,0.0237,0.0435,0.3601
10,0.0229,0.0399,0.3947
11,0.0221,0.0396,0.3921
12,0.0215,0.0389,0.3953
13,0.0209,0.0385,0.4157
14,0.0204,0.0392,0.4165
15,0.0198,0.0402,0.4104
16,0.0193,0.0382,0.4279
17,0.0188,0.0373,0.4378
18,0.0185,0.0394,0.4284
19,0.018,0.038,0.4374
20,0.0177,0.0372,0.4578
21,0.0172,0.0383,0.4442
22,0.0171,0.0381,0.4469
23,0.0167,0.0383,0.4466
24,0.0163,0.0387,0.445
25,0.0161,0.0381,0.4493
26,0.0158,0.0385,0.4513
27,0.0156,0.0381,0.4518
28,0.0154,0.0379,0.4487
29,0.0152,0.0388,0.4535
30,0.0149,0.0385,0.4585
31,0.0146,0.0387,0.4557
32,0.0144,0.0399,0.4455
33,0.0143,0.0383,0.4685
34,0.0139,0.0396,0.4665
35,0.0138,0.0396,0.4528
36,0.0136,0.0395,0.4623
37,0.0134,0.0398,0.4637
38,0.0132,0.0407,0.4584
39,0.0132,0.0403,0.45
40,0.013,0.0406,0.4526
41,0.0127,0.04,0.4675
42,0.0127,0.0401,0.4655
43,0.0124,0.0416,0.4595
44,0.0122,0.0405,0.4688
45,0.0121,0.0404,0.4734
46,0.0119,0.0407,0.468
47,0.0118,0.0408,0.4684
48,0.0116,0.0423,0.4642
49,0.0115,0.041,0.4627
50,0.0114,0.0422,0.4678
51,0.0112,0.0409,0.4701
52,0.0112,0.0424,0.4677
53,0.011,0.0421,0.462
54,0.0109,0.0416,0.4606
55,0.0107,0.0425,0.4682
56,0.0106,0.0438,0.4662
57,0.0105,0.0432,0.4576
58,0.0104,0.0429,0.4677
59,0.0103,0.0431,0.464
60,0.0102,0.043,0.469

full_model_13
100 epochs, 4 blocks, new classifier, with oversampling, with spec augment, with mixup, no focal loss, random crop, scheduler, no bias initialization, early stopping with patience 15, 6 seconds, n_mels=128
epoch,train_loss,val_loss,val_mAP
1,0.0607,0.0578,0.152
2,0.0467,0.0498,0.2288
3,0.0416,0.0496,0.2573
4,0.0379,0.0466,0.3042
5,0.035,0.0469,0.3309
6,0.033,0.044,0.3626
7,0.0314,0.0427,0.3752
8,0.0301,0.045,0.3651
9,0.0284,0.0419,0.3937
10,0.0278,0.0429,0.3883
11,0.0268,0.0422,0.4021
12,0.0258,0.0428,0.4084
13,0.0255,0.0418,0.4029
14,0.0249,0.0422,0.418
15,0.0239,0.0442,0.4178
16,0.0235,0.0416,0.4264
17,0.023,0.0425,0.4164
18,0.0223,0.0413,0.4363
19,0.022,0.041,0.4396
20,0.0215,0.0407,0.4419
21,0.021,0.0402,0.4442
22,0.0205,0.0413,0.441
23,0.0205,0.0408,0.4507
24,0.0202,0.0415,0.4506
25,0.0196,0.0408,0.4505
26,0.0193,0.0413,0.4542
27,0.0191,0.0409,0.4473
28,0.019,0.0404,0.4507
29,0.0186,0.0413,0.4573
30,0.0183,0.0408,0.4706
31,0.0179,0.0409,0.4605
32,0.0177,0.0408,0.4705
33,0.0174,0.0403,0.4716
34,0.0173,0.0433,0.4547
35,0.0171,0.0412,0.468
36,0.0169,0.0414,0.4703
37,0.0166,0.0418,0.4709
38,0.0166,0.0425,0.4707
39,0.0163,0.0417,0.462
40,0.0162,0.0403,0.4742
41,0.0159,0.0413,0.4826
42,0.0156,0.0419,0.4707
43,0.0155,0.041,0.4776
44,0.0155,0.0415,0.4789
45,0.0153,0.0418,0.4835
46,0.015,0.0423,0.4792
47,0.0147,0.0419,0.4836
48,0.0148,0.0409,0.4849
49,0.0145,0.0416,0.4789
50,0.0144,0.0431,0.4711
51,0.0143,0.0426,0.4799
52,0.0141,0.0425,0.4827
53,0.014,0.0417,0.4818
54,0.0138,0.0423,0.4817
55,0.0138,0.0424,0.4795
56,0.0136,0.0427,0.4828
57,0.0133,0.0433,0.4867
58,0.0134,0.0425,0.4822
59,0.0132,0.0429,0.488
60,0.0131,0.0426,0.4846
61,0.0129,0.0419,0.4903
62,0.0129,0.0428,0.4864
63,0.0129,0.0433,0.4837
64,0.0125,0.044,0.4877
65,0.0125,0.0431,0.4909
66,0.0124,0.0421,0.4937
67,0.0124,0.0427,0.4937
68,0.0123,0.043,0.4854
69,0.0123,0.0425,0.4877
70,0.0122,0.0433,0.4905
71,0.012,0.044,0.4889
72,0.0119,0.0428,0.4844
73,0.0119,0.0434,0.4866
74,0.0118,0.043,0.489
75,0.0118,0.0439,0.4913
76,0.0117,0.0443,0.4851
77,0.0116,0.043,0.489
78,0.0116,0.0441,0.4901
79,0.0113,0.0434,0.4972
80,0.0115,0.0436,0.4919
81,0.0114,0.0438,0.4913
82,0.0114,0.0426,0.4913
83,0.0112,0.0434,0.4921
84,0.0113,0.043,0.4935
85,0.0112,0.0434,0.4936
86,0.0113,0.0438,0.499
87,0.0111,0.0437,0.4925
88,0.0112,0.0437,0.4924
89,0.011,0.0436,0.495
90,0.011,0.0439,0.4916
91,0.011,0.0437,0.4944
92,0.011,0.0436,0.4983
93,0.011,0.0438,0.4913
94,0.011,0.0434,0.496
95,0.0112,0.0442,0.4966
96,0.011,0.0435,0.4937
97,0.0111,0.0439,0.4939
98,0.0109,0.0436,0.4958
99,0.011,0.0438,0.497
100,0.011,0.0439,0.4956

